gene_id	Oocyte.1.1	Oocyte.1.2	Oocyte.1.3	cell64.128.2.1	cell64.128.2.2	cell64.128.2.3	Sphere.3.1	Sphere.3.2	Sphere.3.3	Shield.4.1	Shield.4.2	Shield.4.3	per75Epiboly.5.1	per75Epiboly.5.2	per75Epiboly.5.3	dpf1.6.1	dpf1.6.2	dpf1.6.3	cluster
ENSDARG00000102291|eef1da.XP_017214236	-1.373105667196113	-1.5425965030375837	-1.517554651142963	-1.4529917584820429	-1.0690962096254037	-0.23916933624594816	0.4198652234994966	0.3604789418787197	0.4122508596741512	0.9194431017423508	0.5420205325819369	0.951817685813757	1.0668537901438497	-0.20737296521158557	0.7973600641521491	1.2708764356530178	1.0192457950847968	-0.3583253392825915	3
ENSDARG00000104837|nudc.ENSDARP00000136053	-0.9686585601994974	-1.1884370980162242	-1.155965362501447	-1.0722467468265136	-0.5973212979235754	-1.0524659814503856	-1.0167585607595084	-0.061146925049804714	-0.9628282236308795	0.5778018935537873	0.7501137962806699	0.013712661854599689	1.1350275787021473	0.8768461669021804	0.9771832454653445	1.2946127937132905	0.9541783737263646	1.4963522461594607	3
ENSDARG00000035913|yars1.ENSDARP00000052125	-1.1164365864672414	-1.3457182419108953	-1.3118424442651528	-1.2245038761588958	-0.7423124322837542	-1.2038678000595855	-0.24921597162626025	-0.4372907032589882	-0.6072389862143858	0.8719752948460081	0.5507293972679359	0.56225998999379	1.2741009145727198	1.2255762890602384	1.1344265989259146	0.7770037089559637	0.9800434589984467	0.8623113896241512	3
ENSDARG00000055760|srm.ENSDARP00000072618	-0.8913107880765907	-1.1064443735608032	-1.0746589182675548	-0.9927096699886245	-0.5596646104570008	-0.9733469650527266	0.20904576761190455	0.3383670924225865	-0.5009784421672551	1.0124838159289002	-0.07245761230129172	1.323801892927078	1.0884926722846267	1.8335128481481193	1.177913809999314	0.9486220195130586	-0.9273917183750149	-0.833276820588726	3
AAH55257.1|sept8a	-1.0473852338922975	-1.2980547927908912	-1.2610189852956724	-1.165533281043984	-0.7799146877324052	0.08660945543875243	-0.14142043875373977	0.04255319679129304	-1.040735413075378	0.9697588733706963	-0.9715764625360985	0.44058481430028656	1.1446134919067785	0.5564842656191222	0.46638550573557924	1.7116426577264807	0.9338217214603534	1.3531853127711213	3
ENSDARG00000070674|psmd6.ENSDARP00000094762	-1.234721491573691	-1.4380758218350447	-1.408030722374342	-1.3305684588152837	-1.1581503704065543	0.15331222428408867	-0.10089276743640646	0.4270061257929011	-0.6370135643392452	-0.1954938341830754	0.0962804533894186	0.7288456608823035	1.0226268391160245	0.4061706589629815	1.1779799420466834	0.7487412354254578	1.6827522853236456	1.0592316057401314	3
ENSDARG00000008224|vps35.ENSDARP00000003960	-1.0033781826363977	-1.1967835631006123	-1.1682083963716121	-1.0945359128006729	-0.9547401173785726	-1.0771288152221383	-0.21439588199339418	-0.45426974779860696	-0.9982474793680544	0.31176378099006713	0.7007013772782484	0.8088769916190037	0.5861408667667838	0.7852313508554842	0.9185308491717198	1.1888803856398478	1.1821390344276457	1.6794234599212683	3
ENSDARG00000014499|nutf2l.ENSDARP00000017328	-1.0950323330720375	-1.2554946556980404	-1.231786744306149	-1.1706630165223384	-1.1123474796274404	0.40154861601606023	-1.130150583856869	0.5087212954922263	0.42975432654020645	0.9153625264361253	0.9579904714740912	-1.018171680730265	1.0718493281821435	1.3771908415884182	1.1116610995506666	-0.22014552541008076	0.8526217781620687	0.6070917357812197	3
ENSDARG00000003216|anxa2a.ENSDARP00000157276	-0.4619606812882892	-0.7621267578653236	-0.7177779622734366	-0.603437915000209	-0.4943509615848391	1.9421192642725305	-0.5276540314892606	-0.3479058279153781	-0.4539978052481136	-0.2371398886205854	-0.3711829196482285	-0.31818262748089265	-0.46156145447341895	-0.476326197465816	-0.48439543795494855	1.3176950978299726	0.7243621246989888	2.733823981507248	1
ENSDARG00000103404|uchl5.ENSDARP00000141540	-0.8523258812080017	-1.1334681920971668	-1.0919301108454886	-0.9848366461737014	-0.8826633475758335	-0.006581238289788069	-0.9138557532580579	-0.7454995355694537	-0.8448676720832793	1.4245014857479539	-0.7673013841833265	1.2762237496363336	0.6145169387032123	1.1918369813998593	0.5806354911664096	0.6116129098314256	1.2886823903282745	1.235319814470616	3
